Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,,,,,,,
4,3,0.180,NaN,NaN,0.006,27,NaN,NaN,NaN,NaN,NaN,0.00322,0.00644,30,4,1,1,1,NaN,,,,,,,,,,,
5,3,0.191,NaN,NaN,0.006,26,NaN,NaN,NaN,NaN,NaN,0.00356,0.00712,32,4,1,1,1,NaN,,,,,,,,,,,
1,4,0.094,NaN,NaN,0.004,22,NaN,NaN,NaN,NaN,NaN,0.00205,0.00409,24,4,1,1,1,NaN,,,,,,,,,,,
2,4,0.109,NaN,NaN,0.002,25,NaN,NaN,NaN,NaN,NaN,0.00214,0.00428,55,4,1,1,1,NaN,,,,,,,,,,,
3,4,0.137,NaN,NaN,0.004,26,NaN,NaN,NaN,NaN,NaN,0.00256,0.00512,34,4,1,1,1,NaN,,,,,,,,,,,
4,4,0.124,NaN,NaN,0.004,28,NaN,NaN,NaN,NaN,NaN,0.00214,0.00429,31,4,1,1,1,NaN,,,,,,,,,,,
5,4,0.158,NaN,NaN,0.002,17,NaN,NaN,NaN,NaN,NaN,0.00459,0.00918,79,4,1,1,1,NaN,,,,,,,,,,,
1,0,0.1787,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
2,0,0.1990,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
3,0,0.1911,NaN,NaN,NaN,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
4,0,0.1813,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
1,1,0.1267,NaN,NaN,NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
1,2,0.1097,NaN,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
1,3,0.1117,NaN,NaN,NaN,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
1,4,0.0873,NaN,NaN,NaN,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
2,1,0.1402,NaN,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
2,2,0.1260,NaN,NaN,NaN,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
2,3,0.0953,NaN,NaN,NaN,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
2,4,0.1017,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,1,1,NaN,,,,,,,,,,,
