Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,
1,3,0.08265,NaN,NaN,0.00225,23,NaN,NaN,NaN,NaN,NaN,0.00175,0.0035,37,5,1,1,1,NaN,,,,,
2,3,0.2124,NaN,NaN,0.00275,26,NaN,NaN,NaN,NaN,NaN,0.00403,0.00806,77,5,1,1,1,NaN,,,,,
3,3,0.1584,NaN,NaN,0.008,35,NaN,NaN,NaN,NaN,NaN,0.00215,0.0043,20,5,1,1,1,NaN,,,,,
4,3,0.18,NaN,NaN,0.0055,27,NaN,NaN,NaN,NaN,NaN,0.00323,0.00646,33,5,1,1,1,NaN,,,,,
5,3,0.1908,NaN,NaN,0.006,26,NaN,NaN,NaN,NaN,NaN,0.00355,0.00711,32,5,1,1,1,NaN,,,,,
1,4,0.09425,NaN,NaN,0.0035,22,NaN,NaN,NaN,NaN,NaN,0.00206,0.00413,27,5,1,1,1,NaN,,,,,
2,4,0.109475,NaN,NaN,0.002,25,NaN,NaN,NaN,NaN,NaN,0.00215,0.0043,55,5,1,1,1,NaN,,,,,
3,4,0.137025,NaN,NaN,0.0035,26,NaN,NaN,NaN,NaN,NaN,0.00257,0.00514,39,5,1,1,1,NaN,,,,,
4,4,0.1242,NaN,NaN,0.004,28,NaN,NaN,NaN,NaN,NaN,0.00215,0.00429,31,5,1,1,1,NaN,,,,,
5,4,0.1584,NaN,NaN,0.0015,17,NaN,NaN,NaN,NaN,NaN,0.00461,0.00923,106,5,1,1,1,NaN,,,,,
1,0,0.1787,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,1,1,NaN,,,,,
2,0,0.199,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,1,1,NaN,,,,,
3,0,0.1911,NaN,NaN,NaN,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,1,1,NaN,,,,,
4,0,0.1813,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,1,1,NaN,,,,,
1,1,0.1267,NaN,NaN,NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,1,1,NaN,,,,,
1,2,0.1097,NaN,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,1,1,NaN,,,,,
